reportdate,Acute,ICU
2024-01-08,NA,NA
2024-01-09,NA,NA
2024-01-10,NA,NA
2024-01-11,NA,NA
2024-01-12,NA,NA
2024-01-13,NA,NA
2024-01-14,438.85714285714283,52.142857142857146
2024-01-15,427.57142857142856,51.714285714285715
2024-01-16,420.14285714285717,50.714285714285715
2024-01-17,410.2857142857143,49.142857142857146
2024-01-18,400.14285714285717,48.285714285714285
2024-01-19,389.2857142857143,46.714285714285715
2024-01-20,380.42857142857144,45.57142857142857
2024-01-21,371.14285714285717,44.285714285714285
2024-01-22,362.57142857142856,42.714285714285715
2024-01-23,351.7142857142857,42.285714285714285
2024-01-24,347.42857142857144,41.714285714285715
2024-01-25,345,42.857142857142854
2024-01-26,344.2857142857143,44.285714285714285
2024-01-27,343.42857142857144,44.857142857142854
2024-01-28,342.57142857142856,45.285714285714285
2024-01-29,341.7142857142857,46.285714285714285
2024-01-30,339.85714285714283,46
2024-01-31,334,46.57142857142857
2024-02-01,325.7142857142857,45.857142857142854
2024-02-02,318.7142857142857,45.142857142857146
2024-02-03,311.2857142857143,44.714285714285715
2024-02-04,304.7142857142857,44
2024-02-05,292.57142857142856,42.714285714285715
2024-02-06,282.14285714285717,41.285714285714285
2024-02-07,271.7142857142857,39.714285714285715
2024-02-08,261.14285714285717,39.42857142857143
2024-02-09,250.57142857142858,38.42857142857143
2024-02-10,240.14285714285714,37.857142857142854
2024-02-11,229.57142857142858,37.714285714285715
2024-02-12,227.14285714285714,38.142857142857146
2024-02-13,224.28571428571428,38.142857142857146
2024-02-14,224.57142857142858,37.142857142857146
2024-02-15,226.42857142857142,34.857142857142854
2024-02-16,225.14285714285714,33.57142857142857
2024-02-17,224.57142857142858,32.42857142857143
2024-02-18,225.14285714285714,31
2024-02-19,221.71428571428572,30
2024-02-20,218.85714285714286,29.714285714285715
2024-02-21,216,29.714285714285715
2024-02-22,213,30.285714285714285
2024-02-23,213.14285714285714,30.857142857142858
2024-02-24,211.85714285714286,31.285714285714285
2024-02-25,209.85714285714286,32
2024-02-26,212.57142857142858,32.285714285714285
2024-02-27,215,32.857142857142854
2024-02-28,215.42857142857142,32.714285714285715
2024-02-29,216.71428571428572,31.857142857142858
2024-03-01,215.85714285714286,31
2024-03-02,216,30
2024-03-03,217.57142857142858,28.571428571428573
2024-03-04,214.57142857142858,27.857142857142858
2024-03-05,210.71428571428572,28.142857142857142
2024-03-06,209.14285714285714,28.571428571428573
2024-03-07,206.14285714285714,29.571428571428573
2024-03-08,203.71428571428572,29.285714285714285
2024-03-09,200.85714285714286,29.285714285714285
2024-03-10,197,29.142857142857142
2024-03-11,193.14285714285714,27.571428571428573
2024-03-12,188.42857142857142,25
2024-03-13,181.85714285714286,23.285714285714285
2024-03-14,177.42857142857142,21.428571428571427
2024-03-15,171,20.857142857142858
2024-03-16,165.14285714285714,20
2024-03-17,158.57142857142858,19.571428571428573
2024-03-18,151.28571428571428,19.428571428571427
2024-03-19,145.14285714285714,19.714285714285715
2024-03-20,141.71428571428572,19.714285714285715
2024-03-21,136,19.857142857142858
2024-03-22,133.14285714285714,19.142857142857142
2024-03-23,129.85714285714286,18.428571428571427
2024-03-24,125.85714285714286,17.857142857142858
2024-03-25,121.14285714285714,16.857142857142858
2024-03-26,117.42857142857143,15.142857142857142
2024-03-27,114,13.285714285714286
2024-03-28,112.42857142857143,11.571428571428571
2024-03-29,111.42857142857143,10.142857142857142
2024-03-30,110.57142857142857,9
2024-03-31,110.28571428571429,7.857142857142857
2024-04-01,111.14285714285714,8
2024-04-02,113,8.857142857142858
